frame_index,reference_frame,middle_frame,current_frame,similarity,delete_frame,delete_range,memory_size,matching_points,orb_runtime_ms,lightglue_runtime_ms,runtime_ms,confidence,semantic_similarity,final_similarity,spatial_alpha,average_displacement,median_displacement,maximum_displacement,depth_runtime_ms,geometry_similarity,depth_difference,depth_metric,depth_cache_hit_reference,depth_cache_hit_current,memory_state,policy,transition,unified_memory_score,geometry_confidence,intent_state,estimator,decision,window_before,window_after,pose_x,pose_z,pose_yaw,pose_pitch,delta_x,delta_z,delta_yaw,delta_pitch,movement_magnitude,rotation_magnitude,pose_confidence,pose_delta_position
69,49,61,65,0.9626407064497471,59,59-60-61,9,225280,0.0,0.0,59.43484604358673,0.9626407064497471,0.9626407064497471,0.9626407064497471,0.0,0.0,0.0,0.0,59.43484604358673,0.9626407064497471,0.037359293550252914,l1,True,False,KEEP,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.7169265106298387,0.9626407064497471,Turn Left,depth,physmem_keep,0 44 49 59 60 61 62 63 64,0 44 49 62 63 64 65 66 67,0.3333333432674408,7.333333313465118,-0.29947916232049465,0.0,0.3333333432674408,0.0,-0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,0.598958320915699,0.3333333432674408
72,49,64,68,0.9235045164823532,62,62-63-64,9,225280,0.0,0.0,135.76659094542265,0.9235045164823532,0.9235045164823532,0.9235045164823532,0.0,0.0,0.0,0.0,135.76659094542265,0.9235045164823532,0.07649548351764679,l1,True,False,KEEP,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.6233817726735651,0.9235045164823532,Turn Left,depth,physmem_keep,0 44 49 62 63 64 65 66 67,0 44 49 65 66 67 68 69 70,0.6666666865348816,7.333333313465118,-0.35937499441206455,0.0,0.3333333432674408,0.0,-0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,0.598958320915699,0.3333333432674408
75,49,67,71,0.8916351646184921,65,65-66-67,9,225280,0.0,0.0,54.604887031018734,0.8916351646184921,0.8916351646184921,0.8916351646184921,0.0,0.0,0.0,0.0,54.604887031018734,0.8916351646184921,0.10836483538150787,l1,True,False,KEEP,physmem_rule,pose_viewpoint_change_protect_memory|prev=KEEP,0.39475006031329773,0.8916351646184921,Turn Right,depth,physmem_keep,0 44 49 65 66 67 68 69 70,0 44 49 68 69 70 71 72 73,0.6666666865348816,7.333333313465118,-0.17968749441206455,0.0,0.0,0.0,0.1796875,0.0,0.0,0.1796875,1.0,0.0
78,49,70,74,0.8994546011090279,68,68-69-70,9,225280,0.0,0.0,53.30778984352946,0.8994546011090279,0.8994546011090279,0.8994546011090279,0.0,0.0,0.0,0.0,53.30778984352946,0.8994546011090279,0.10054539889097214,l1,True,False,KEEP,physmem_rule,pose_viewpoint_change_protect_memory|prev=KEEP,0.40626055796609994,0.8994546011090279,Turn Right,depth,physmem_keep,0 44 49 68 69 70 71 72 73,0 44 49 71 72 73 74 75 76,0.6666666865348816,7.333333313465118,5.587935447692871e-09,0.0,0.0,0.0,0.1796875,0.0,0.0,0.1796875,1.0,0.0
81,49,73,77,0.8972756192088127,71,71-72-73,9,225280,0.0,0.0,129.26651607267559,0.8972756192088127,0.8972756192088127,0.8972756192088127,0.0,0.0,0.0,0.0,129.26651607267559,0.8972756192088127,0.10272438079118729,l1,True,False,KEEP,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.6472566371943487,0.8972756192088127,Turn Left,depth,physmem_keep,0 44 49 71 72 73 74 75 76,0 44 49 74 75 76 77 78 79,0.6666666865348816,6.999999970197678,-0.04003905691206455,0.0,0.0,-0.3333333432674408,-0.0400390625,0.0,0.3333333432674408,0.0400390625,0.400390625,0.3333333432674408
84,49,76,80,0.9160353243350983,74,74-75-76,9,225280,0.0,0.0,118.84243204258382,0.9160353243350983,0.9160353243350983,0.9160353243350983,0.0,0.0,0.0,0.0,118.84243204258382,0.9160353243350983,0.08396467566490173,l1,True,False,KEEP,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.6612485196796906,0.9160353243350983,Turn Right,depth,physmem_keep,0 44 49 74 75 76 77 78 79,0 44 49 77 78 79 80 81 82,0.6666666865348816,7.999999970197678,5.587935447692871e-09,0.0,0.0,1.0,0.0400390625,0.0,1.0,0.0400390625,1.0,1.0
87,49,79,83,0.9533735662698746,44,44-77,9,225280,0.0,0.0,119.0861901268363,0.9533735662698746,0.9533735662698746,0.9533735662698746,0.0,0.0,0.0,0.0,119.0861901268363,0.9533735662698746,0.04662643373012543,l1,True,False,INSERT,physmem_rule,pose_forward_progression_preserve_progression|prev=KEEP,0.4427541682458206,0.9533735662698746,Walk,depth,physmem_insert,0 44 49 77 78 79 80 81 82,0 49 78 79 80 81 82 83 84,0.0,8.999999970197678,5.587935447692871e-09,0.0,-0.6666666865348816,1.0,0.0,0.0,1.201850436175566,0.0,1.0,1.201850436175566
90,78,81,85,0.919994480907917,79,79-80-81,9,225280,0.0,0.0,110.9104158822447,0.919994480907917,0.919994480907917,0.919994480907917,0.0,0.0,0.0,0.0,110.9104158822447,0.919994480907917,0.08000551909208298,l1,False,False,KEEP,physmem_rule,proposal_keep_validated|prev=INSERT,0.5917136845657197,0.919994480907917,Walk,depth,physmem_keep,0 49 78 79 80 81 82 83 84,0 49 78 82 83 84 85 86 87,0.3333333432674408,9.999999970197678,5.587935447692871e-09,0.0,0.3333333432674408,1.0,0.0,0.0,1.0540925565309005,0.0,1.0,1.0540925565309005
93,78,84,88,0.9093884006142616,82,82-83-84,9,225280,0.0,0.0,68.58425214886665,0.9093884006142616,0.9093884006142616,0.9093884006142616,0.0,0.0,0.0,0.0,68.58425214886665,0.9093884006142616,0.09061159938573837,l1,True,False,KEEP,physmem_rule,proposal_keep_validated|prev=KEEP,0.6618325132367779,0.9093884006142616,Turn Left,depth,physmem_keep,0 49 78 82 83 84 85 86 87,0 49 78 85 86 87 88 89 90,0.6666666865348816,10.999999970197678,-0.08007811941206455,0.0,0.3333333432674408,1.0,-0.080078125,0.0,1.0540925565309005,0.080078125,1.0,1.0540925565309005
96,78,87,91,0.9328694567084312,85,85-86-87,9,225280,0.0,0.0,97.6062819827348,0.9328694567084312,0.9328694567084312,0.9328694567084312,0.0,0.0,0.0,0.0,97.6062819827348,0.9328694567084312,0.06713054329156876,l1,True,False,KEEP,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.5418845712595171,0.9328694567084312,Turn Right,depth,physmem_keep,0 49 78 85 86 87 88 89 90,0 49 78 88 89 90 91 92 93,0.6666666865348816,11.999999970197678,5.587935447692871e-09,0.0,0.0,1.0,0.080078125,0.0,1.0,0.080078125,1.0,1.0
